Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,38.0,1.0,38.0,38.0,0.1,18.876396075073224,0.0,0.0,0.010804176330566406,,,,,,,,,,,,,,,,,,,,,5.310208678979959,6.237539608336553,18.712013460178877,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,96.0,2.0,58.0,96.0,0.1,33.7621561830468,0.0,0.0,6.142962694168091,,,,,,,,,,,,,,,,,,,,,10.22371373796269,11.032252821150312,33.2356187882026,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,169.0,3.0,73.0,169.0,0.1,23.87547517671438,0.0,0.0,13.550107717514038,,,,,,,,,,,,,,,,,,,,,7.908879817936013,6.114104639374015,23.344793191595034,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,207.0,4.0,38.0,207.0,0.1,12.581241816866765,0.0,0.0,17.468208074569702,,,,,,,,,,,,,,,,,,,,,3.1925121914233445,3.825376870490669,12.484883635981012,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,229.0,5.0,22.0,229.0,0.1,5.190361104183992,0.0,0.0,19.973096132278442,,,,,,,,,,,,,,,,,,,,,1.3867017020597363,1.7522250434878452,5.1701888742984,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,263.0,6.0,34.0,263.0,0.1,10.249618343656737,0.0,0.0,23.423216819763184,,,,,,,,,,,,,,,,,,,,,2.549472624227048,3.1687539549928,10.183292676493334,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,337.0,7.0,74.0,337.0,0.1,32.62957091248351,0.0,0.0,30.841182470321655,,,,,,,,,,,,,,,,,,,,,9.197200762777335,8.921101559460846,32.0129719870401,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,400.0,8.0,63.0,400.0,0.1,20.17256270062883,0.0,0.0,37.211843967437744,,,,,,,,,,,,,,,,,,,,,6.995545188629717,5.602981537317125,19.771366315008827,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,458.0,9.0,58.0,458.0,0.1,23.547096044091575,0.0,0.0,43.070215463638306,,,,,,,,,,,,,,,,,,,,,6.081276459671002,7.592005915964212,23.240840449489163,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,522.0,10.0,64.0,522.0,0.1,19.75244220665653,0.0,0.0,49.51087021827698,,,,,,,,,,,,,,,,,,,,,5.0271176857875,5.704851434129683,19.469626458055764,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,620.0,11.0,98.0,620.0,0.1,36.07484095634853,0.0,0.0,59.295066356658936,,,,,,,,,,,,,,,,,,,,,11.006070620686673,9.111419186331476,35.06634365649055,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,664.0,12.0,44.0,664.0,0.1,28.09935216330396,0.0,0.0,63.739378690719604,,,,,,,,,,,,,,,,,,,,,9.151835887037633,9.54819547098497,27.752147927982325,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,701.0,13.0,37.0,701.0,0.1,7.09179077659284,0.0,0.0,67.60845756530762,,,,,,,,,,,,,,,,,,,,,1.4646972293268576,2.0566973860143802,7.051693314042514,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,748.0,14.0,47.0,748.0,0.1,24.071253782276873,0.0,0.0,72.36113023757935,,,,,,,,,,,,,,,,,,,,,6.671067428958404,7.8088507277053445,23.805300408632668,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,785.0,15.0,37.0,785.0,0.1,15.41271407272206,0.0,0.0,76.26627230644226,,,,,,,,,,,,,,,,,,,,,3.873685031623593,4.834632008221032,15.29997237132227,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,823.0,16.0,38.0,823.0,0.1,16.61416393333315,0.0,0.0,80.4220757484436,,,,,,,,,,,,,,,,,,,,,4.4988961097584905,5.233075334349654,16.476141688397426,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,876.0,17.0,53.0,876.0,0.1,29.03838598931584,0.0,0.0,85.87043356895447,,,,,,,,,,,,,,,,,,,,,9.692094958627141,9.536607501274707,28.5818400547781,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,996.0,18.0,120.0,996.0,0.1,84.69722166886001,0.0,0.0,98.03276896476746,,,,,,,,,,,,,,,,,,,,,32.63496620569604,26.520816775084214,80.94283044223046,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1057.0,19.0,61.0,1057.0,0.1,25.123267995198,0.0,0.0,104.13614463806152,,,,,,,,,,,,,,,,,,,,,7.323473656760142,7.444086308951297,24.72596330277787,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1088.0,20.0,31.0,1088.0,0.1,7.433581354252402,0.0,0.0,107.34471321105957,,,,,,,,,,,,,,,,,,,,,2.0766113194895675,2.4115768316114337,7.383966953287842,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,34.0,1.0,34.0,1122.0,0.1,18.035476409759447,0.0,0.0,283.1326594352722,,,,,,,,,,,,,,,,,,,,,4.998434071962895,5.996663375658255,17.90131437875583,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,88.0,2.0,54.0,1176.0,0.1,19.84978459366792,0.0,0.0,288.68027424812317,,,,,,,,,,,,,,,,,,,,,5.654168975340042,5.689827155063555,19.583607099591628,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,128.0,3.0,40.0,1216.0,0.1,19.27619294367951,0.0,0.0,293.0499174594879,,,,,,,,,,,,,,,,,,,,,5.695149271006564,6.403379320185458,19.086540968234743,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,176.0,4.0,48.0,1264.0,0.1,25.730098033184497,0.0,0.0,298.00077533721924,,,,,,,,,,,,,,,,,,,,,8.154586474995527,8.621436411531553,25.389431355664676,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,198.0,5.0,22.0,1286.0,0.1,5.118331076581225,0.0,0.0,300.32781958580017,,,,,,,,,,,,,,,,,,,,,1.333210942390042,1.6747462187425959,5.099193724103125,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,229.0,6.0,31.0,1317.0,0.1,8.385580895012394,0.0,0.0,303.7153992652893,,,,,,,,,,,,,,,,,,,,,2.257141398104426,2.6347906601669053,8.332265710827105,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,270.0,7.0,41.0,1358.0,0.1,17.664838484327145,0.0,0.0,308.05662846565247,,,,,,,,,,,,,,,,,,,,,4.57508790186691,5.716615661209016,17.512266901887457,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,334.0,8.0,64.0,1422.0,0.1,40.31177500559872,0.0,0.0,314.7961461544037,,,,,,,,,,,,,,,,,,,,,13.502372835836553,13.171035473555207,39.52663689125082,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,377.0,9.0,43.0,1465.0,0.1,8.910521148830556,0.0,0.0,319.55496644973755,,,,,,,,,,,,,,,,,,,,,1.7409729652358144,2.5507509061872495,8.853357172312881,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,445.0,10.0,68.0,1533.0,0.1,23.52127861661001,0.0,0.0,326.39632296562195,,,,,,,,,,,,,,,,,,,,,7.037588307602163,7.0084910529464,23.0888772773705,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,488.0,11.0,43.0,1576.0,0.1,13.501078482610207,0.0,0.0,331.2832326889038,,,,,,,,,,,,,,,,,,,,,3.1469631392783226,4.064236004101438,13.392530736563645,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,533.0,12.0,45.0,1621.0,0.1,25.55948890215161,0.0,0.0,335.8816704750061,,,,,,,,,,,,,,,,,,,,,9.15672072069417,8.670857972829099,25.197806885684855,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,599.0,13.0,66.0,1687.0,0.1,38.34707108366467,0.0,0.0,342.4516112804413,,,,,,,,,,,,,,,,,,,,,11.834216096709884,12.860013597658604,37.641257695415,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,677.0,14.0,78.0,1765.0,0.1,49.53692019469204,0.0,0.0,350.5889985561371,,,,,,,,,,,,,,,,,,,,,16.190162195746787,15.150744407200959,48.37078073411129,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
